Year	Angola Population	Benin Population	Burkina Faso Population	Burundi Population	Cameroon Population
1960	5643182	2431622	4829288	2786106	5176268
1961	5753024	2465867	4894580	2839666	5285231
1962	5866061	2502896	4960326	2893669	5399922
1963	5980417	2542859	5027821	2949926	5520332
1964	6093321	2585965	5098890	3010859	5646316
1965	6203299	2632356	5174870	3077876	5777834
1966	6309770	2682159	5256363	3152723	5915123
1967	6414995	2735307	5343019	3234023	6058539
1968	6523791	2791590	5434041	3316233	6208282
1969	6642632	2850661	5528174	3391753	6364569
1970	6776381	2912340	5624600	3455606	6527635
1971	6927269	2976572	5723381	3505391	6697745
1972	7094834	3043567	5825173	3544047	6875228
1973	7277960	3113675	5930483	3578490	7060603
1974	7474338	3187412	6040041	3618585	7254468
1975	7682479	3265165	6154545	3671494	7457362
1976	7900997	3347173	6274037	3739659	7669445
1977	8130988	3433439	6398935	3821194	7890969
1978	8376147	3523938	6530819	3913768	8122529
1979	8641521	3618526	6671656	4013310	8364835
1980	8929900	3717165	6822843	4116817	8618354
1981	9244507	3820128	6985160	4223195	8883016
1982	9582156	3927714	7158255	4333386	9158566
1983	9931562	4039949	7340905	4448728	9445003
1984	10277321	4156819	7531242	4571292	9742263
1985	10609042	4278501	7727907	4702066	10050023
1986	10921037	4404506	7930694	4841565	10368300
1987	11218268	4535263	8140073	4987736	10696274
1988	11513968	4672852	8356305	5135956	11031817
1989	11827237	4820016	8579823	5280024	11372160
1990	12171441	4978496	8811034	5415415	11715218
1991	12553446	5149499	9050084	5542048	12060729
1992	12968345	5331803	9297113	5661139	12408931
1993	13403734	5521763	9552476	5771398	12758881
1994	13841301	5714220	9816588	5871607	13109660
1995	14268994	5905558	10089878	5962058	13460994
1996	14682284	6094259	10372745	6041112	13812472
1997	15088981	6281639	10665546	6112097	14165423
1998	15504318	6470265	10968724	6186352	14523570
1999	15949766	6664098	11282701	6278940	14891891
2000	16440924	6865951	11607942	6400706	15274234
2001	16983266	7076733	11944587	6555829	15671927
2002	17572649	7295394	12293100	6741569	16084886
2003	18203369	7520555	12654621	6953113	16513822
2004	18865716	7750004	13030569	7182451	16959081
2005	19552542	7982225	13421930	7423289	17420795
2006	20262399	8216896	13829177	7675338	17899562
2007	20997687	8454791	14252021	7939573	18395389
2008	21759420	8696916	14689726	8212264	18907008
2009	22549547	8944706	15141099	8489031	19432541
2010	23369131	9199259	15605217	8766930	19970495
2011	24218565	9460802	16081904	9043508	20520447
2012	25096150	9729160	16571216	9319710	21082383
2013	25998340	10004451	17072723	9600186	21655715
2014	26920466	10286712	17585977	9891790	22239904
2015	27859305	10575952	18110624	10199270	22834522
2016	28813463	10872298	18646433	10524117	23439189
