Average Starting Distance from Goalline (yds)	Points Scored in Game
46	16
52	24
43	30
38	40
41	59
64	13
56	3
54	20
54	17
62	10
47	33
58	16
55	28
48	24
54	26
50	43
55	27
47	30
55	31
59	21
60	3
59	27
59	10
58	28
52	35
51	32
49	17
58	27
50	12
53	27
48	30
46	17
48	14
55	10
53	10
56	28
49	23
53	23
52	26
56	17
54	28
60	0
41	43
64	3
62	13
61	19
56	12
53	17
55	17
50	27
45	41
54	28
58	16
61	13
55	21
58	16
51	31
45	20
55	14
42	21
59	24
51	14
56	9
55	20
46	16
58	14
51	20
46	33
46	28
46	13
64	20
54	17
49	21
52	6
46	30
76	14
60	27
46	27
59	20
56	7
53	20
50	20
42	24
52	27
48	31
49	27
52	27
50	34
53	31
51	24
51	32
45	15
47	24
46	38
49	33
45	31
54	24
56	31
45	30
46	34
51	25
50	40
49	27
55	3
48	10
55	10
60	16
60	10
53	24
50	26
50	24
55	10
52	40
46	27
49	16
42	30
46	27
63	6
60	10
46	34
52	24
62	3
58	10
55	16
46	12
47	55
53	13
47	24
48	13
54	13
49	26
57	3
53	23
48	23
52	14
52	33
66	6
47	53
45	19
52	27
52	7
46	23
51	29
55	31
51	30
63	21
48	34
47	28
54	24
47	31
47	10
70	7
52	32
52	34
50	31
53	24
58	16
64	17
51	24
47	23
36	28
46	24
49	17
47	16
44	35
44	24
43	24
56	6
60	0
50	34
43	7
44	20
40	32
45	22
49	23
39	38
36	22
60	20
68	14
59	17
42	33
46	37
41	13
53	26
61	6
45	24
46	20
48	30
50	30
54	17
51	31
49	21
45	33
59	0
50	23
51	30
48	27
49	23
55	27
41	37
44	9
50	16
54	25
48	30
57	42
50	42
46	37
62	10
58	21
59	0
54	10
42	36
51	13
61	24
52	17
53	24
60	13
55	27
47	10
58	13
52	14
47	27
61	15
50	27
57	15
45	29
52	27
57	9
60	24
44	51
46	27
49	16
57	31
55	31
46	19
48	31
51	26
47	9
49	20
66	13
46	31
51	23
62	24
45	31
42	26
52	26
47	37
44	19
46	26
39	24
47	26
47	20
51	18
51	26
40	24
54	3
56	20
58	25
49	28
48	40
56	14
46	24
59	11
49	26
47	37
54	22
43	18
56	9
47	30
46	34
48	26
48	24
51	32
49	49
47	19
58	17
46	13
50	16
52	16
53	34
42	12
59	35
52	27
59	12
56	24
53	27
64	13
54	13
46	24
48	28
49	24
63	27
44	26
47	16
51	9
54	30
43	23
46	17
54	17
57	24
45	41
49	21
61	7
52	10
47	37
56	20
52	17
50	34
57	7
52	33
60	13
50	26
52	17
42	36
58	7
54	27
55	27
49	35
59	10
53	17
40	29
55	3
45	34
53	17
62	3
62	3
42	45
45	41
52	16
66	10
51	20
53	24
46	13
49	34
53	20
58	17
52	20
54	42
53	6
48	37
56	17
51	19
50	16
55	8
58	9
57	9
54	14
53	19
48	22
40	31
53	34
54	35
52	23
53	9
55	20
42	40
47	20
52	13
52	20
50	6
50	26
47	37
54	22
60	6
56	28
50	17
52	11
55	31
59	7
48	34
56	17
46	37
53	24
51	20
44	31
61	30
50	15
43	31
52	13
50	29
54	18
53	21
53	26
49	28
43	38
48	21
50	45
53	23
52	24
56	27
48	23
44	19
51	17
43	21
47	16
49	22
48	24
45	35
58	10
57	42
47	17
50	28
48	48
58	12
44	31
54	7
46	20
52	20
53	24
51	23
65	17
59	15
46	40
55	20
45	46
51	38
53	23
53	16
60	10
48	23
52	42
51	24
49	17
54	13
53	17
55	20
59	34
50	21
43	24
55	7
57	20
48	21
39	38
42	21
47	22
51	30
53	13
54	17
52	21
48	39
48	44
45	37
53	36
50	27
54	29
51	24
53	34
52	38
46	27
51	24
58	17
49	26
53	31
53	15
58	16
50	35
51	17
53	38
48	24
57	16
48	20
46	38
56	12
63	28
49	27
51	31
53	34
60	13
53	3
58	17
53	23
62	10
57	9
50	17
52	41
51	35
51	24
51	6
50	38
57	20
55	16
46	15
55	21
56	31
52	28
56	23
59	28
53	23
55	6
49	27
54	24
50	13
49	14
51	20
49	38
54	35
52	24
47	24
55	26
44	21
47	19
53	20
51	23
45	19
49	47
53	34
56	17
50	16
43	28
50	10
59	42
52	22
